model_family,checkpoint,loading_precision,dataset,batch_size,method,scoring_method,prompting_method,mask_strategy,mask_token,seed,n_shot,sample,mask_accuracy,accuracy
BLIP2-OPT,Salesforce/blip2-opt-2.7b,INT8,vqa,1,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.4700,0.0700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5100,0.1800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5100,0.1800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,BF16,scienceqa,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5600,0.2700
BLIP2-T5,Salesforce/blip2-flan-t5-xl,FP16,scienceqa,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5700,0.2700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5300,0.2500
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5900,0.2900
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5600,0.2500
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,below_average,,0,0,100,0.5100,0.2500
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.7600,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.7500,0.2500
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.8200,0.2700
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.7600,0.2700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.7900,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.7500,0.3100
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.7900,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.7500,0.3100
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.7900,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,3,100,0.7500,0.3100
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,0,100,0.7400,0.2300
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,1,3,100,0.7100,0.2500
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,0,100,0.7300,0.2500
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,2,3,100,0.8700,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,0,100,0.7000,0.2500
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,3,3,100,0.7200,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,0,100,0.6900,0.1900
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,4,3,100,0.7400,0.1600
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,0,100,0.7100,0.2700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,process_of_elimination,multiple_choice_prompt,multiple_choice_prompt,lowest,,0,1,100,0.6800,0.2300
