model_family,checkpoint,loading_precision,dataset,batch_size,method,seed,n_shot,sample,accuracy
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,multiple_choice_prompt,0,0,100,0.3700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,scienceqa,2,multiple_choice_prompt,0,0,100,0.3700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,BF16,scienceqa,2,multiple_choice_prompt,0,0,100,0.2200
BLIP2-T5,Salesforce/blip2-flan-t5-xl,FP16,scienceqa,2,multiple_choice_prompt,0,0,100,0.3200
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2000
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2500
PaliGemma,google/paligemma-3b-ft-ai2d-448,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2900
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2200
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,3,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,3,100,0.2600
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2900
GIT,microsoft/git-base-textvqa,FP32,ai2d,2,multiple_choice_prompt,0,3,100,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,3,100,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,3,100,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,0,100,0.2700
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,0,3,100,0.2800
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,1,0,100,0.2600
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,1,3,100,0.2200
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,2,0,100,0.2500
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,2,3,100,0.2400
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,3,0,100,0.2400
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,3,3,100,0.2200
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,4,0,100,0.1600
BLIP2-OPT,Salesforce/blip2-opt-2.7b,FP16,ai2d,2,multiple_choice_prompt,4,3,100,0.1700
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,0,100,0.2200
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,1,100,0.2400
GIT,microsoft/git-base-vqav2,FP32,ai2d,2,multiple_choice_prompt,0,3,100,0.2200
